slug,reason,priority,suggested_action,expected_impact
review-semrush,Missing YouTube video,Low,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
review-semrush-ai,Missing YouTube video,Low,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
review-semrush-vs-ahrefs-2026,Periodic content refresh candidate,Low,Monitor,"Improve CTR, rankings, affiliate clicks, or video coverage."
review-senja-review-2026,Missing YouTube video,Low,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
review-serpstat-review-2026,Periodic content refresh candidate,Low,Monitor,"Improve CTR, rankings, affiliate clicks, or video coverage."
review-surfer-seo,Periodic content refresh candidate,Low,Monitor,"Improve CTR, rankings, affiliate clicks, or video coverage."
review-surfer-seo-alternatives,Periodic content refresh candidate,Low,Monitor,"Improve CTR, rankings, affiliate clicks, or video coverage."
review-surfer-seo-review-2026,Periodic content refresh candidate,Low,Monitor,"Improve CTR, rankings, affiliate clicks, or video coverage."
review-synthesia,Missing YouTube video,Low,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
review-systeme-io-review-2026,Periodic content refresh candidate,Low,Monitor,"Improve CTR, rankings, affiliate clicks, or video coverage."
review-tally-forms-review-2026,Missing YouTube video,Low,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
review-trackdesk-review-2026,Periodic content refresh candidate,Low,Monitor,"Improve CTR, rankings, affiliate clicks, or video coverage."
review-ubersuggest-review-2026,Periodic content refresh candidate,Low,Monitor,"Improve CTR, rankings, affiliate clicks, or video coverage."
review-unbounce-review-2026,Periodic content refresh candidate,Low,Monitor,"Improve CTR, rankings, affiliate clicks, or video coverage."
review-webflow,Missing YouTube video,Low,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
review-webflow-ai,Missing YouTube video,Low,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
review-windsurf,Missing YouTube video,Low,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
review-windsurf-review-2026,Periodic content refresh candidate,Low,Monitor,"Improve CTR, rankings, affiliate clicks, or video coverage."
review-wordtune-review-2026,Periodic content refresh candidate,Low,Monitor,"Improve CTR, rankings, affiliate clicks, or video coverage."
review-zapier,Missing YouTube video,Low,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
review-zapier-alternatives,Periodic content refresh candidate,Low,Monitor,"Improve CTR, rankings, affiliate clicks, or video coverage."
rnns-vs-transformers-vs-ssms-where-should-ai-memory-live-for-continual-learning,Missing YouTube video,Low,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
runway,Missing YouTube video,Low,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
saas-stocks-are-rallying-on-ai-optimism-3-stocks-to-buy-now,Missing YouTube video,Low,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
self-hosting-guide-review-2026,Periodic content refresh candidate,Low,Monitor,"Improve CTR, rankings, affiliate clicks, or video coverage."
semrush,Missing YouTube video,Low,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
semrush-ai,Missing YouTube video,Low,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
shopify-launches-ai-powered-marketing-automation-tool,Missing YouTube video,Low,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
skillspector-review-2026,Periodic content refresh candidate,Low,Monitor,"Improve CTR, rankings, affiliate clicks, or video coverage."
surfer-seo,Missing YouTube video,Low,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
surfer-seo-free-trial,Periodic content refresh candidate,Low,Monitor,"Improve CTR, rankings, affiliate clicks, or video coverage."
surfer-seo-vs-clearscope,Periodic content refresh candidate,Low,Monitor,"Improve CTR, rankings, affiliate clicks, or video coverage."
synthesia,Missing YouTube video,Low,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
tidal-ai-policy,Missing YouTube video,Low,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
tough-tongue-ai-for-sales,Missing YouTube video,Low,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
webflow,Missing YouTube video,Low,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
webflow-ai,Missing YouTube video,Low,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
webflow-pros-and-cons,Periodic content refresh candidate,Low,Monitor,"Improve CTR, rankings, affiliate clicks, or video coverage."
what-ai-capability-do-you-think-is-still-surprisingly-underdeveloped,Missing YouTube video,Low,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
what-if-ai-s-failures-reveal-our-vices-more-than-its-limits,Missing YouTube video,Low,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
why-won-t-europe-build-ai-data-centers-in-iceland,Missing YouTube video,Low,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
windsurf,Missing YouTube video,Low,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
working-on-my-first-fully-featured-ai-companion-with-vision-for-games-and-movies-n-all-that,Missing YouTube video,Low,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
working-with-ai-a-concrete-example,Missing YouTube video,Low,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
zapier,Missing YouTube video,Low,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
zapier-pricing,Periodic content refresh candidate,Low,Monitor,"Improve CTR, rankings, affiliate clicks, or video coverage."
zvec-review-2026,Missing YouTube video,Low,Create or upload video,"Improve CTR, rankings, affiliate clicks, or video coverage."
