topic,slug,velocity,acceleration,growth_rate,decay_rate,stability_score,volatility_score,days_since_first_seen,days_since_last_growth,peak_rank,average_rank,trend_lifetime,trend_confidence,momentum_grade,momentum_recommendation
Import AI 458: Reckoning with the future; and a singularity story,import-ai-458-reckoning-with-the-future-and-a-singularity-story,0.0,0.0,0.0,0,100.0,0.0,12,12,66,81.9,12,83.5,C,Watch
"Import AI 460: Reward hacking society, RSI data from Anthropic; and RL-based quadcopter racing",import-ai-460-reward-hacking-society-rsi-data-from-anthropic-and-rl-based-quadcopter-racing,0.0,0.0,0.0,0,100.0,0.0,12,12,67,82.9,12,83.5,C,Watch
"Import AI 461: ""Alignment is not on track""; FrontierCode; and synthetic research interns",import-ai-461-alignment-is-not-on-track-frontiercode-and-synthetic-research-interns,0.0,0.0,0.0,0,100.0,0.0,12,12,68,83.9,12,83.5,C,Watch
ImportAI 449: LLMs training other LLMs; 72B distributed training run; computer vision is harder than generative text,importai-449-llms-training-other-llms-72b-distributed-training-run-computer-vision-is-harder-than-generative-text,0.0,0.0,0.0,0,100.0,0.0,12,12,71,85.1,12,83.5,C,Watch
Best AI for cartoon image generation,best-ai-for-cartoon-image-generation,0.0,0.0,0.0,0,100.0,0.0,12,12,68,74.1,12,83.5,C,Watch
Databricks targets AI operations bottlenecks with ZeroOps,databricks-targets-ai-operations-bottlenecks-with-zeroops,0.0,0.0,0.0,0,100.0,0.0,12,12,72,76.2,12,83.5,C,Watch
Import AI 462: Superpersuasion; self-sustaining AI; paths to ASI,import-ai-462-superpersuasion-self-sustaining-ai-paths-to-asi,0.0,0.0,0.0,0,100.0,0.0,0,0,69,69.0,0,83.5,C,Watch
Import AI 463: Self-improving robots; a 10k Chinese GPU cluster; and an elegiac essay for the human era,import-ai-463-self-improving-robots-a-10k-chinese-gpu-cluster-and-an-elegiac-essay-for-the-human-era,0.0,0.0,0.0,0,100.0,0.0,0,0,70,70.0,0,83.5,C,Watch
Labs AI,labs-ai,0.0,0.0,0.0,0,100.0,0.0,12,12,81,88.0,12,83.4,C,Watch
Parano.ai,parano-ai,0.0,0.0,0.0,0,100.0,0.0,12,12,86,86.0,12,83.4,C,Watch
Upsolve AI,upsolve-ai,0.0,0.0,0.0,0,100.0,0.0,11,11,88,88.0,11,83.4,C,Watch
Folio AI,folio-ai,0.0,0.0,0.0,0,100.0,0.0,0,0,72,72.0,0,83.4,C,Watch
Oxlo.ai,oxlo-ai,0.0,0.0,0.0,0,100.0,0.0,0,0,73,73.0,0,83.4,C,Watch
discode.ai,discode-ai,0.0,0.0,0.0,0,100.0,0.0,0,0,74,74.0,0,83.4,C,Watch
Ploy.ai,ploy-ai,0.0,0.0,0.0,0,100.0,0.0,12,12,82,88.9,12,83.4,C,Watch
Agentic videos by D-ID,agentic-videos-by-d-id,0.0,0.0,0.0,0,100.0,0.0,12,12,83,90.0,12,83.0,C,Watch
Building independent LLM drift detection,building-independent-llm-drift-detection,0.0,0.0,0.0,0,100.0,0.0,12,12,84,91.1,12,82.9,C,Watch
📋 Moderator Applications Open For r/productivity,moderator-applications-open-for-r-productivity,0.0,0.0,0.0,0,100.0,0.0,12,12,90,90.0,12,82.9,C,Watch
GLM-5.2 inference is free on Hugging Face for the next 6 hours,glm-5-2-inference-is-free-on-hugging-face-for-the-next-6-hours,0.0,0.0,0.0,0,100.0,0.0,12,12,85,91.0,12,82.5,C,Watch
I have an old multi-GPU node lying around at work...,i-have-an-old-multi-gpu-node-lying-around-at-work,0.0,0.0,0.0,0,100.0,0.0,12,12,87,92.5,12,82.5,C,Watch
New survey: ~half of Americans don't recognize Sam Altman or Dario Amodei,new-survey-half-of-americans-don-t-recognize-sam-altman-or-dario-amodei,0.0,0.0,0.0,0,100.0,0.0,12,12,90,90.5,12,82.5,C,Watch
"GLM-5.2 is above GPT-5.5 in AA-Briefcase, Artificial Analysis' new agentic knowledge work eval",glm-5-2-is-above-gpt-5-5-in-aa-briefcase-artificial-analysis-new-agentic-knowledge-work-eval,0.0,0.0,0.0,0,100.0,0.0,11,11,86,86.0,11,82.5,C,Watch
A language model that runs on 5$ chip,a-language-model-that-runs-on-5-chip,0.0,0.0,0.0,0,100.0,0.0,0,0,75,75.0,0,82.5,C,Watch
I built a benchmark for multi-turn prompt injection attacks. Most defenses never see them coming.,i-built-a-benchmark-for-multi-turn-prompt-injection-attacks-most-defenses-never-see-them-coming,0.0,0.0,0.0,0,100.0,0.0,0,0,76,76.0,0,82.5,C,Watch
"On June 18, 1956, a small group of researchers met at Dartmouth College and gave the field its name: artificial intelligence",on-june-18-1956-a-small-group-of-researchers-met-at-dartmouth-college-and-gave-the-field-its-name-artificial-intelligence,0.0,0.0,0.0,0,100.0,0.0,12,12,88,93.3,12,82.5,C,Watch
Best app for productivity/goal planning that's synced with Google Calendar?,best-app-for-productivity-goal-planning-that-s-synced-with-google-calendar,0.0,0.0,0.0,0,100.0,0.0,12,12,92,92.0,12,82.1,C,Watch
TREX: An AI code reviewer that runs your code,trex-an-ai-code-reviewer-that-runs-your-code,4.6,-4.1,17.2,0,90.8,9.2,12,0,7,7.7,12,76.8,A,Act this week
rlm Review 2026,rlm-review-2026,3.25,-2.75,11.6,0,93.5,6.5,12,0,8,8.0,12,78.0,B,Monitor and prepare
How to Tell a Good Speech Dataset for AI From a Bad One,how-to-tell-a-good-speech-dataset-for-ai-from-a-bad-one,0.0,0.0,0.0,0,100.0,0.0,12,12,89,93.8,12,81.0,C,Watch
UI-TARS-desktop Review 2026,ui-tars-desktop-review-2026,2.7,-2.2,9.6,0,94.6,5.4,12,0,5,7.7,12,78.0,B,Monitor and prepare
Top 7 AI Lead Generation Software Picks,top-7-ai-lead-generation-software-picks,0.0,0.0,0.0,0,100.0,0.0,11,11,92,92.0,11,80.3,C,Watch
PayU Brings AI Coding And CLI Tools To Payment Developers,payu-brings-ai-coding-and-cli-tools-to-payment-developers,0.0,0.0,0.0,0,100.0,0.0,0,0,77,77.0,0,80.2,C,Watch
8 Best Generative AI Software Stocks to Buy in June 2026,8-best-generative-ai-software-stocks-to-buy-in-june-2026,4.2,-3.8,16.2,0,91.6,8.4,12,0,10,10.0,12,75.9,A,Act this week
How AI is upending SaaS tools,how-ai-is-upending-saas-tools,0.0,0.0,0.0,0,100.0,0.0,0,0,78,78.0,0,79.9,C,Watch
What AI app or workflow have you built that was truly useful for you?,what-ai-app-or-workflow-have-you-built-that-was-truly-useful-for-you,0.0,0.0,0.0,0,100.0,0.0,12,12,90,94.9,12,79.8,C,Watch
"Adobe embeds agentic AI workflows across Creative Cloud, shifting from media generation to production orchestration",adobe-embeds-agentic-ai-workflows-across-creative-cloud-shifting-from-media-generation-to-production-orchestration,0.0,0.0,0.0,0,100.0,0.0,12,12,97,98.5,12,79.6,C,Watch
Techie Doesn't 'Feel Like Developer' After Rise Of AI Tools: 'Forgot To Write Code',techie-doesn-t-feel-like-developer-after-rise-of-ai-tools-forgot-to-write-code,0.0,0.0,0.0,0,100.0,0.0,11,11,91,91.0,11,79.5,C,Watch
Supabase raises $500M as AI coding tools drive ‘phenomenal’ growth,supabase-raises-500m-as-ai-coding-tools-drive-phenomenal-growth,0.0,0.0,0.0,0,100.0,0.0,12,12,92,96.5,12,78.0,C,Watch
"At VivaTech 2026, Taiwan-Based MaiAgent Says Enterprises Should Stop Building RAG and AI Agent Systems From Scratch",at-vivatech-2026-taiwan-based-maiagent-says-enterprises-should-stop-building-rag-and-ai-agent-systems-from-scratch,0.0,0.0,0.0,0,100.0,0.0,12,12,99,100.5,12,77.7,C,Watch
Devplan raises $2.5M to take on the product coordination work that AI coding is leaving behind,devplan-raises-2-5m-to-take-on-the-product-coordination-work-that-ai-coding-is-leaving-behind,0.0,0.0,0.0,0,100.0,0.0,12,12,94,94.0,12,76.8,C,Watch
Import AI 453: Breaking AI agents; MirrorCode; and ten views on gradual disempowerment,import-ai-453-breaking-ai-agents-mirrorcode-and-ten-views-on-gradual-disempowerment,0.0,0.0,0.0,0,100.0,0.0,12,12,93,98.1,12,74.3,C,Watch
"ZenaTech Unveils Zoo Office™, an AI-Powered Enterprise Productivity Platform Positioned to Capitalize on the Rapidly Growing Agentic AI Market",zenatech-unveils-zoo-office-an-ai-powered-enterprise-productivity-platform-positioned-to-capitalize-on-the-rapidly-growing-agentic-ai-market,0.0,0.0,0.0,0,100.0,0.0,12,12,97,97.0,12,65.9,C,Watch
BetterCloud Unveils AI-Native Next Generation SaaS Management Platform to Help Enterprises Govern AI at Scale,bettercloud-unveils-ai-native-next-generation-saas-management-platform-to-help-enterprises-govern-ai-at-scale,-2.52,0.23,-48.9,60.5,51.8,48.2,12,12,1,68.2,12,41.6,D,Avoid unless strong buyer intent
"Deeptech Startup SiMa.ai Unveils Agentic Software, SoM to Reduce Reliance on NVIDIA GPUs",deeptech-startup-sima-ai-unveils-agentic-software-som-to-reduce-reliance-on-nvidia-gpus,0.0,0.0,0.0,0,100.0,0.0,11,11,97,97.0,11,65.8,C,Watch
SaaS stocks are rallying on AI optimism. 3 stocks to buy now.,saas-stocks-are-rallying-on-ai-optimism-3-stocks-to-buy-now,-2.5,0.23,-49.4,49.4,70.0,30.0,12,12,5,69.5,12,50.4,D,Avoid unless strong buyer intent
Show HN: Crawlie – Free open-source SEO audit tool for humans and agents,show-hn-crawlie-free-open-source-seo-audit-tool-for-humans-and-agents,0.0,0.0,0.0,0,100.0,0.0,11,11,99,99.0,11,61.5,C,Watch
Shopify launches AI-powered marketing automation tool,shopify-launches-ai-powered-marketing-automation-tool,0.0,0.0,0.0,0,100.0,0.0,0,0,81,81.0,0,61.0,C,Watch
Hashtag Orange & Autviz AI Agents launch AI Lab for marketing automation,hashtag-orange-autviz-ai-agents-launch-ai-lab-for-marketing-automation,-3.88,0.39,-68.1,68.1,57.3,42.7,12,12,2,69.4,12,38.6,D,Avoid unless strong buyer intent
Show HN: Local personal data redaction for any AI tools,show-hn-local-personal-data-redaction-for-any-ai-tools,-12.4,6.2,-65.3,65.3,62.8,37.2,12,12,8,8.2,12,41.3,D,Avoid unless strong buyer intent
AWS says AI agents can work on their own. It’s also building tools to keep them in line,aws-says-ai-agents-can-work-on-their-own-it-s-also-building-tools-to-keep-them-in-line,-9.3,3.1,-65.3,65.3,62.8,37.2,12,12,7,26.0,12,41.3,D,Avoid unless strong buyer intent
"Coding Jobs At Risk? AI Agents Match Engineers In Task Success, Warns Anthropic",coding-jobs-at-risk-ai-agents-match-engineers-in-task-success-warns-anthropic,-14.2,7.1,-68.5,75.1,41.0,59.0,12,12,2,5.8,12,30.3,D,Avoid unless strong buyer intent
Reco Launches Industry-First AI Agent Security to Tackle Agent Sprawl Across SaaS,reco-launches-industry-first-ai-agent-security-to-tackle-agent-sprawl-across-saas,-3.08,0.27,-65.7,65.7,63.1,36.9,12,12,9,72.5,12,41.2,D,Avoid unless strong buyer intent
Launch HN: Adam (YC W25) – Open-Source AI CAD,launch-hn-adam-yc-w25-open-source-ai-cad,0.02,0.02,0.5,0,99.9,0.1,12,0,98,103.9,12,59.5,C,Watch
ImageKit Launches Creative Automation with AI Assist to Help Teams Generate On-Brand Visuals at Scale,imagekit-launches-creative-automation-with-ai-assist-to-help-teams-generate-on-brand-visuals-at-scale,0.0,0.0,0.0,0,100.0,0.0,0,0,83,83.0,0,58.8,C,Watch
"Agentic AI Revolution: 3 Unstoppable Software Stocks That Could Soar Up to 107%, According to Wall Street",agentic-ai-revolution-3-unstoppable-software-stocks-that-could-soar-up-to-107-according-to-wall-street,0.0,0.0,0.0,0,100.0,0.0,12,12,101,105.3,12,58.5,C,Watch
"Romanian startup theMarketer reaches 2,000 clients in 17 countries three years after launch",romanian-startup-themarketer-reaches-2-000-clients-in-17-countries-three-years-after-launch,0.0,0.0,0.0,0,100.0,0.0,12,12,102,103.5,12,58.4,C,Watch
Asian AI startups launch Mythos-like models as Anthropic's export ban drags on,asian-ai-startups-launch-mythos-like-models-as-anthropic-s-export-ban-drags-on,0.0,0.0,0.0,0,100.0,0.0,0,0,84,84.0,0,57.4,C,Watch
Apple unveils AI frameworks and agentic coding tools in Xcode 27,apple-unveils-ai-frameworks-and-agentic-coding-tools-in-xcode-27,0.0,0.0,0.0,0,100.0,0.0,12,12,99,105.6,12,57.3,C,Watch
Clipper Ship Marketing launches multicasting for AI & multi-channel visibility,clipper-ship-marketing-launches-multicasting-for-ai-multi-channel-visibility,0.0,0.0,0.0,0,100.0,0.0,12,12,100,106.6,12,54.6,C,Watch
